"hufflepuff....c.rep.1..n1...rep.0..n2..","birthOrder","parentInHuff","introvert"
0,2,0,1
0,1,1,0
0,1,1,0
0,0,1,1
0,1,1,1
0,2,1,0
0,0,0,0
0,1,1,0
0,1,1,0
0,1,0,1
0,2,1,1
0,0,0,1
0,2,1,0
0,0,0,0
0,1,1,1
0,0,1,1
0,0,0,1
0,2,1,1
0,1,1,1
0,0,0,1
0,2,1,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,2,0,0
0,1,0,0
0,1,1,0
0,2,0,1
0,1,1,0
0,0,1,0
0,0,1,0
0,2,0,0
0,2,0,0
0,2,1,1
0,2,0,0
0,2,1,0
0,1,1,0
0,0,0,1
0,0,0,0
0,1,1,0
0,0,0,0
0,2,0,1
0,2,0,0
0,1,1,0
0,2,1,0
0,2,1,1
0,2,0,0
0,1,1,1
0,1,0,1
0,2,1,1
0,1,1,0
0,2,0,0
0,0,0,1
0,2,1,0
0,0,1,0
0,1,0,1
0,1,1,1
0,2,0,0
0,0,0,0
0,1,1,0
0,1,0,0
0,1,1,0
0,1,1,0
0,2,1,0
0,2,1,0
0,0,0,0
0,0,1,1
0,2,0,1
0,0,1,0
0,1,0,0
0,0,0,0
0,2,1,0
0,2,0,0
0,1,1,0
0,1,0,0
0,0,1,0
0,1,1,1
0,0,0,0
0,2,1,1
0,1,1,0
0,0,1,0
0,1,0,0
0,2,0,0
0,0,0,1
0,1,0,1
0,1,0,1
0,1,1,0
0,0,0,1
0,0,0,1
0,0,1,1
0,2,0,0
0,2,1,0
0,2,0,0
0,1,1,1
0,2,0,1
0,1,1,0
0,1,1,1
0,0,0,0
0,1,1,0
0,1,1,1
0,0,0,1
0,1,0,0
0,1,0,0
0,1,1,0
0,2,1,0
0,1,0,0
0,1,0,1
0,2,1,0
0,0,1,0
0,2,1,1
0,2,1,0
0,0,1,0
0,1,0,1
0,1,1,1
0,1,1,1
0,2,1,0
0,2,0,0
0,1,1,1
0,2,0,0
0,2,1,0
0,0,0,0
0,2,1,1
0,2,0,1
0,2,0,0
0,2,0,1
0,1,1,1
0,2,0,0
0,1,1,0
0,2,1,1
0,0,1,1
0,0,0,0
0,1,1,0
0,1,0,1
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,0,1,0
0,2,0,0
0,2,0,0
0,1,1,0
0,0,1,0
0,1,0,1
0,1,0,0
0,1,1,1
0,2,1,0
0,1,1,0
0,1,1,1
0,0,0,0
0,1,1,1
0,0,1,0
0,2,0,0
0,2,0,0
0,2,0,1
0,0,0,0
0,0,0,0
0,2,1,0
0,0,1,1
0,1,1,1
0,1,0,0
0,2,0,0
0,1,0,1
0,0,0,0
0,0,1,0
0,2,0,0
0,1,0,1
0,2,1,1
0,1,1,1
0,0,1,0
0,1,1,0
0,0,1,0
0,2,0,0
0,1,1,0
0,0,1,0
0,2,0,1
0,0,0,0
0,1,0,0
0,1,1,1
0,1,1,1
0,0,0,0
0,0,1,0
0,2,0,0
0,0,0,0
0,0,1,0
0,0,0,1
0,0,1,0
0,0,1,0
0,2,1,0
0,1,0,0
0,1,1,1
0,1,1,1
0,2,1,0
0,1,1,1
0,1,0,0
0,2,0,1
0,2,1,0
0,2,0,0
0,2,1,0
0,1,0,0
0,0,1,0
0,2,0,1
0,0,1,1
0,1,0,0
0,0,0,0
0,2,1,0
0,0,0,0
0,1,1,1
0,2,1,1
0,0,0,0
0,0,1,0
0,1,1,1
0,0,1,1
0,1,1,0
0,1,0,0
0,1,0,0
0,2,1,0
0,2,1,1
0,0,0,0
0,0,0,0
0,0,1,0
0,2,0,0
0,0,1,0
0,1,1,1
0,2,1,1
0,0,1,0
0,2,0,0
0,0,1,0
0,1,0,0
0,0,0,0
0,1,1,1
0,1,0,0
0,0,0,0
0,2,0,0
0,1,1,0
0,2,0,0
0,0,1,0
0,1,1,0
0,1,1,0
0,0,1,0
0,2,0,0
0,0,0,0
0,2,1,0
0,1,1,0
0,1,0,0
0,2,1,1
0,2,1,1
0,0,1,1
0,2,0,0
0,2,1,1
0,0,0,0
0,2,1,0
0,2,0,0
0,1,1,1
0,1,1,0
0,2,1,0
0,0,1,1
0,1,1,0
0,0,1,0
0,2,0,0
0,0,0,0
0,2,1,0
0,1,1,0
0,1,0,0
0,0,1,1
0,1,1,0
0,0,0,0
0,2,0,1
0,1,1,0
0,1,0,1
0,0,0,1
0,1,1,0
0,0,1,1
0,2,1,0
0,1,0,0
0,2,0,0
0,0,1,0
0,1,1,1
0,2,1,0
0,1,0,0
0,1,1,0
0,2,1,1
0,0,1,0
0,2,0,1
0,2,0,0
0,2,1,0
0,2,1,1
0,1,0,0
0,2,1,0
0,1,0,1
0,0,0,1
0,1,0,0
0,1,1,0
0,1,0,0
0,1,1,0
0,1,1,0
0,1,1,1
0,0,1,1
0,1,1,0
0,0,0,1
0,1,0,1
0,0,0,0
0,1,1,0
0,2,1,0
0,1,1,0
0,2,1,1
0,2,1,0
0,2,1,0
0,1,0,0
0,2,0,0
0,1,1,1
0,1,0,1
0,2,0,0
0,0,0,1
0,0,1,1
0,2,0,0
0,1,1,0
0,0,1,0
0,1,1,0
0,0,1,0
0,1,0,0
0,0,1,1
0,2,1,1
0,2,0,0
0,1,1,0
0,2,1,1
0,0,1,1
0,2,0,0
0,1,0,1
0,0,0,1
0,1,1,1
0,2,0,1
0,0,0,1
0,0,1,1
0,2,1,1
0,2,1,1
0,1,0,0
0,1,1,0
0,1,1,0
0,0,1,0
0,1,0,0
0,0,0,0
0,2,1,0
0,1,0,0
0,0,1,0
0,0,0,1
0,0,1,1
0,1,0,1
0,2,1,0
0,1,0,0
0,1,1,1
0,0,1,1
0,2,0,1
0,1,0,1
0,1,0,0
0,1,0,0
0,2,1,0
0,1,1,1
0,2,1,0
0,1,1,1
0,1,0,1
0,1,0,0
0,0,1,0
0,1,0,1
0,1,1,0
0,2,1,0
0,1,0,0
0,0,0,0
0,1,0,0
0,1,1,0
0,1,1,1
0,0,1,0
0,1,1,0
0,1,1,0
0,1,0,0
0,1,1,0
0,1,1,1
0,1,0,0
0,0,0,0
0,0,1,0
0,2,0,0
0,2,1,0
0,1,1,1
0,1,0,1
0,0,1,0
0,2,1,0
0,2,0,0
0,1,1,0
0,2,0,1
0,2,1,1
0,2,1,0
0,0,0,0
0,1,0,0
0,1,0,0
0,2,1,0
0,2,0,0
0,0,1,0
0,0,0,0
0,0,1,0
0,2,0,1
0,1,1,1
0,1,0,1
0,0,1,1
0,2,0,1
0,0,0,0
0,2,1,1
0,1,1,0
0,1,0,0
0,0,0,1
0,1,0,1
0,2,1,0
0,2,1,1
0,1,1,0
0,1,0,0
0,1,1,1
0,2,0,0
0,0,1,1
0,0,1,0
0,0,1,1
0,2,1,0
0,1,1,0
0,0,1,0
0,2,1,0
0,0,1,0
0,0,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,0,0,0
0,2,1,1
0,2,0,0
0,1,1,0
0,1,1,0
0,1,1,1
0,2,1,1
0,0,1,1
0,0,1,0
0,1,1,0
0,2,0,0
0,1,1,0
0,0,0,0
0,1,1,1
0,1,1,1
0,0,0,0
0,0,0,1
0,2,1,1
0,1,0,0
0,0,1,1
0,1,0,1
0,0,0,0
0,2,0,0
0,0,0,0
0,0,1,0
0,2,1,0
0,1,0,0
0,1,1,1
0,1,1,0
0,2,1,0
0,0,0,0
0,0,0,1
0,2,1,1
0,1,1,0
0,1,0,1
0,2,0,0
0,1,1,1
0,2,0,0
0,1,0,1
0,0,1,0
0,1,1,1
0,2,1,1
0,2,1,0
0,2,1,1
0,2,1,0
0,2,0,0
0,1,1,1
0,1,0,1
0,1,0,0
0,1,1,0
0,2,0,0
0,0,1,0
0,2,0,0
0,1,1,1
0,1,0,1
0,2,0,0
0,2,1,1
0,1,1,1
0,0,1,0
0,2,1,1
0,2,0,1
0,1,0,1
0,0,1,0
0,2,1,0
0,2,1,1
0,2,1,0
0,2,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,2,1,0
0,2,1,1
0,1,0,0
0,1,0,0
0,1,1,1
0,0,0,0
0,2,1,0
0,0,1,1
0,2,1,0
0,1,0,0
0,1,0,0
0,1,1,0
0,2,1,0
0,0,0,0
0,0,0,1
0,1,1,1
0,2,1,1
0,0,1,0
0,1,1,1
0,1,0,0
0,0,1,0
0,1,0,0
0,1,1,1
0,2,1,1
0,0,1,0
0,2,1,0
0,2,1,0
0,2,1,1
0,1,0,0
0,2,1,1
0,2,0,1
0,2,1,1
0,2,1,0
0,0,0,0
0,2,1,0
0,2,1,0
0,2,0,1
0,1,1,0
0,2,1,1
0,0,1,1
0,1,0,0
0,2,0,1
0,1,0,1
0,0,1,0
0,1,0,1
0,2,1,0
0,0,1,0
0,2,1,1
0,0,1,1
0,0,1,0
0,2,0,0
0,1,1,1
0,2,0,0
0,2,0,0
0,2,1,0
0,2,1,1
0,0,0,0
0,0,1,0
0,2,1,0
0,1,1,1
0,1,1,1
0,2,0,1
0,1,1,0
0,2,1,0
0,1,1,1
0,2,1,1
0,2,1,0
0,1,0,0
0,1,1,0
0,1,0,1
0,2,0,1
0,0,0,0
0,2,0,0
0,0,0,0
0,1,1,1
0,1,0,1
0,0,1,1
0,2,1,0
0,2,0,1
0,0,1,0
0,2,0,1
0,1,1,1
0,0,1,0
0,1,0,0
0,1,1,1
0,2,0,0
0,0,0,1
0,1,0,0
0,1,0,1
0,1,1,1
0,2,0,1
0,2,1,0
0,2,0,0
0,1,1,1
0,1,1,0
0,0,0,0
0,1,1,0
0,0,0,0
0,1,1,0
0,2,1,0
0,2,1,0
0,1,0,0
0,2,0,0
0,2,1,0
0,1,0,0
0,1,1,0
0,2,1,0
0,0,0,1
0,2,1,0
0,0,1,0
0,0,1,0
0,2,1,0
0,1,0,0
0,0,0,0
0,0,1,1
0,0,0,1
0,1,1,1
0,1,1,0
0,1,0,1
0,1,0,0
0,1,0,0
0,0,1,0
0,2,1,1
0,1,0,1
0,1,1,0
0,0,1,1
0,0,0,0
0,1,1,1
0,0,0,0
0,2,0,1
0,2,1,0
0,1,1,0
0,1,1,0
0,0,1,0
0,1,1,1
0,2,0,0
0,1,0,1
0,1,0,1
0,2,0,0
0,2,1,1
0,1,0,0
0,1,0,1
0,1,1,0
0,2,0,1
0,1,1,0
0,2,0,0
0,1,0,0
0,2,1,0
0,2,1,0
0,0,1,0
0,1,0,0
0,2,0,1
0,1,1,0
0,1,1,1
0,0,1,1
0,2,0,1
0,0,1,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,1
0,0,0,1
0,1,1,0
0,2,0,0
0,1,1,1
0,1,1,1
0,1,1,0
0,0,0,0
0,1,0,0
0,0,0,1
0,1,0,1
0,2,0,0
0,0,0,0
0,0,0,0
0,1,1,1
0,0,1,1
0,2,0,1
0,2,1,0
0,1,1,0
0,0,1,1
0,1,0,1
0,0,1,0
0,0,1,1
0,2,0,1
0,2,0,0
0,2,0,0
0,0,1,1
0,2,1,0
0,1,1,0
0,2,1,0
0,1,0,1
0,0,0,1
0,2,0,0
0,2,1,1
0,1,1,0
0,0,1,0
0,1,0,0
0,2,1,1
0,1,0,0
0,1,0,0
0,1,1,0
0,0,1,1
0,1,0,1
0,0,1,0
0,2,0,0
0,1,1,0
0,1,0,0
0,0,1,1
0,1,1,0
0,0,1,0
0,0,0,1
0,0,0,0
0,1,0,0
0,0,0,1
0,1,1,1
0,2,0,0
0,0,1,0
0,1,1,0
0,1,1,1
0,2,1,1
0,1,1,1
0,2,0,0
0,0,1,0
